id,website,make,model,version,fuel,year,kms,power,doors,shift,color,photos,price,location,publish_date,dealer_id,dealer_is_professional
242178,website_4,volvo,xc60,2.0 B4 G Plus Bright Auto,Gas,2022,11,197,0,Automático,NEGRO SÓLIDO / METALIZADO,23,509002,Badajoz,2024-01-28,528b3dcb48d9ade25eead37020925cf7,1
268724,website_4,hyundai,ioniq-5,Ioniq 5 77kWh Energy AWD 239kW,Eléctrico,2023,19204,325,5,Automático,GRAVITY GOLD,21,509002,Valencia,2024-03-26,840a79cd520f2c5e14415b9c57d21a62,1
228241,website_4,mercedes-benz,clase-a,Clase A 250e 8G-DCT,Híbrido,2023,2500,218,5,Automático,NEGRO,30,509004,Barcelona,2024-04-03,f6df96fd776479cad1a5ecfb5f4746a4,1
241136,website_4,rolls-royce,cullinan,,Gas,2023,40,571,5,Automático,NEGRO,15,509900,Madrid,2023-10-17,b65f865c54d5a32a5990d5c44a5575a4,1
228579,website_4,mercedes-benz,clase-s,Clase S Maybach 680 4Matic Aut.,Gas,2024,50,612,4,Automático,NEGRO,30,509900,Madrid,2024-03-29,b65f865c54d5a32a5990d5c44a5575a4,1
919612,website_4,mercedes-benz,clase-cls,Clase CLS 350d 4Matic Aut.,Diésel,2018,82333,286,4,Automático,OTROS,27,509902,Madrid,2024-02-29,918756d3233a153fe73dc2aa974a7492,1
295936,website_4,mercedes-benz,clase-gle,Clase GLE 350d 4Matic Aut.,Diésel,2019,68475,272,5,Automático,BLANCO POLAR (ESTÁNDAR) / METALIZADO,114,509903,Madrid,2024-02-04,abf32f86fa9d093661debbeb5af7fae6,1
333621,website_4,volkswagen,touareg,Prem Eleg 3.0 V6 TDI 210kW Tip 4M,Diésel,2022,26356,286,5,Automático,BLANCO,41,509904,Madrid,2024-04-26,97c81649fa58303996aaf556b17043ca,1
531060,website_4,aston-martin,vantage,Descapotable  Automático de 2 Puertas,Gas,2023,2500,700,2,Automático,-,0,510000,Murcia,2023-12-15,f1264148fe6940c1a7e12473be27845a,1
332549,website_4,mercedes-benz,eqb,350 4Matic,Eléctrico,2022,5268,292,5,Automático,BLANCO,17,510002,Barcelona,2024-01-12,5b0c95b213ac0964637172e3bada81d9,1
759078,website_4,alfa-romeo,giulia,2.9 T Quadrifoglio Aut. 510,Gas,2018,85000,510,4,Automático,BLANCO,0,510004,Barcelona,2024-01-22,a262d74008697113ae3b92ae40bb5bfb,1
737033,website_4,mercedes-benz,clase-g,Clase G Todoterreno  Automático de 5 Puertas,Gasolina,2023,50,820,5,Automático,NEGRO,30,511900,Madrid,2024-04-09,b65f865c54d5a32a5990d5c44a5575a4,1
531384,website_4,mercedes-benz,clase-c,Clase C 220 d Berlina[0-803],Diésel,2023,4914,200,4,Automático,-,20,512006,Girona,2024-04-16,7c9e3f343f7c20a8661eeafafd29737b,1
227853,website_4,lamborghini,urus,4.0 V8 Aut.,Gasolina,2023,98,650,5,Automático,NEGRO,25,513900,Madrid,2023-12-29,b65f865c54d5a32a5990d5c44a5575a4,1
228012,website_4,maserati,mc20,630,Gasolina,2023,50,630,4,Automático,AZUL,20,513900,Madrid,2023-09-13,b65f865c54d5a32a5990d5c44a5575a4,1
204730,website_4,mazda,cx-60,3.3L MHEV Homura DRI-P COM-P 2WD 147kW Aut.,Diésel,2023,6200,200,0,Automático,Blanco,17,514003,Girona,2023-08-03,a3d2de7675556553a5f08e4c88d2c228,0
103917,website_4,rolls-royce,ghost,6.6 V12,Gas,2020,6100,570,4,Automático,GRIS / METALIZADO,22,514900,Madrid,2023-03-27,b65f865c54d5a32a5990d5c44a5575a4,1
809813,website_4,bmw,x3,xDrive30e xLine,Híbrido,2022,32700,292,5,Automático,ALPINWEISS (SÓLIDO) / METALIZADO,33,514902,Madrid,2024-03-15,97949bae75413fafea1dfaef83ba1a83,1
809812,website_4,bmw,x3,xDrive30e xLine,Híbrido,2022,32700,292,5,Automático,ALPINWEISS (SÓLIDO) / METALIZADO,33,514902,Sevilla,2024-03-15,f518ac0118a8110910e67f76dee05555,1
333620,website_4,volkswagen,touareg,Prem Eleg 3.0 V6 TDI 210kW Tip 4M,Diésel,2021,31601,286,5,Automático,GRIS / METALIZADO,40,514903,Madrid,2024-04-26,97c81649fa58303996aaf556b17043ca,1
737423,website_4,rolls-royce,ghost,Berlina  Automático de 4 Puertas,Gas,2024,80,571,4,Automático,AZUL,6,515000,Murcia,2024-02-25,f1264148fe6940c1a7e12473be27845a,1
509698,website_2,LAMBORGHINI,URUS,LAMBORGHINI URUS PERFORMANTE,Gasolina,2023,1100,0,0,,,24,515000,Murcia,2024-03-25,119549fb250878c3c837c8ecc6ebd86a,1
333624,website_4,volkswagen,touareg,3.0TDI V6 Premium Tiptronic Elegance 4M 210kW,Diésel,2022,28949,286,5,Automático,BLANCO,39,515906,Madrid,2024-05-07,97c81649fa58303996aaf556b17043ca,1
227120,website_4,ferrari,296-gtb,296 GTB,Híbrido,2023,710,830,2,Automático,ROJO,15,516900,Madrid,2023-08-02,b65f865c54d5a32a5990d5c44a5575a4,1
946805,website_4,rolls-royce,ghost,6.6 V12,Gas,2020,8700,570,4,Automático,NEGRO / METALIZADO,29,516900,Madrid,2023-03-27,b65f865c54d5a32a5990d5c44a5575a4,1
902859,website_4,land-rover,range-rover-sport,Range Rover Sport Todoterreno 306cv Automático de 4 Puertas,Diésel,2020,98021,306,4,Automático,NEGRO,12,517452,Valencia,2024-04-18,980f12ff0fb249daed15893804c10dde,1
227679,website_4,kia,ev6,Long Range GT-Line RWD 168kW,Eléctrico,2024,10,229,5,Automático,BLANCO,50,517902,Madrid,2024-01-31,b0c37fe6b4f194e670f8a6a74074d85a,1
279993,website_4,lamborghini,aventador,LP770-4 SVJ,Gas,2019,17500,0,2,Automático,GRIS / METALIZADO,16,518900,Madrid,2024-01-11,b65f865c54d5a32a5990d5c44a5575a4,1
103884,website_4,rolls-royce,cullinan,,Gas,2022,9940,571,5,Automático,NEGRO,30,518900,Madrid,2023-12-07,b65f865c54d5a32a5990d5c44a5575a4,1
268300,website_4,ford,mustang-mach-e,Mustang SUV Mach-E GT AWD Rango extendido,Eléctrico,2022,24973,487,5,Automático,NARANJA,37,518901,Madrid,2023-12-05,d7984dc84ea6c1ba7219c2e60fa2a925,1
228379,website_4,mercedes-benz,clase-c,Clase C 220 d Berlina,Diésel,2023,5000,200,4,Automático,AZUL ESPECTRAL METALIZADO,0,519001,Valencia,2024-04-23,d55974ca9182d224ce669ff4c018f777,1
737089,website_4,mercedes-benz,eqa,250+[0-804],Eléctrico,2024,9,190,5,Automático,-,20,519002,La Rioja,2024-04-19,eaa89cc50f22b4493b9695b27b397168,1
772982,website_4,audi,a8,50 TDI quattro tiptronic,Diésel,2019,138507,286,4,Automático,GRIS PLATA,20,519002,Madrid,2024-01-28,40b67e0534ef4d718d685e031398703d,1
532563,website_4,bmw,x1,xDrive30eA xLine,Híbrido,2023,25663,326,5,Automático,ALPINWEISS 3 / METALIZADO,14,519002,Barcelona,2024-02-06,a227ffc731a8c5ae48c419a04fb865dc,1
730579,website_4,bmw,serie-4,Serie 4 420iA Gran Coupé,Gas,2023,6500,184,5,Automático,VERDE / METALIZADO,34,519002,Alicante,2024-03-01,e7b30618151be0a38157897b77375a61,1
772481,website_4,audi,a6-allroad,A6 Allroad 45 TDI quattro tiptronic 170kW,Diésel,2020,72557,231,5,Automático,MARRÓN,19,519002,Madrid,2024-01-30,40b67e0534ef4d718d685e031398703d,1
737078,website_4,mercedes-benz,clase-glb,Clase GLB 200[0-804],Gas,2024,8,163,5,Automático,-,20,519002,La Rioja,2024-04-02,eaa89cc50f22b4493b9695b27b397168,1
903159,website_4,land-rover,range-rover-velar,Range Rover Velar 2.0D 240 CA s,Diésel,2020,39620,240,5,Automático,PLATA,47,519004,Barcelona,2024-04-17,57ec4fa68b9734068c9bc6dd6efb8a9b,1
903158,website_4,land-rover,range-rover-velar,Range Rover Velar 2.0D 240 CA s,Diésel,2020,59585,240,5,Automático,PLATA,47,519004,Barcelona,2024-04-17,57ec4fa68b9734068c9bc6dd6efb8a9b,1
903157,website_4,land-rover,range-rover-velar,Range Rover Velar 2.0D 240 CA s,Diésel,2020,48235,240,5,Automático,BLANCO,28,519004,Barcelona,2024-04-18,57ec4fa68b9734068c9bc6dd6efb8a9b,1
91974,website_4,porsche,cayenne,Turbo Aut.,Gas,2015,79999,520,5,Automático,NEGRO,22,519007,Barcelona,2024-03-23,71be4d89d90c9fad12dc3cc2a8b5b9fe,1
835639,website_4,ferrari,sf90,Stradale,Híbrido,2021,500,1000,2,Automático,GRIS,5,519800,Murcia,2024-02-18,f1264148fe6940c1a7e12473be27845a,1
103896,website_4,rolls-royce,cullinan,,Gas,2021,2200,571,5,Automático,AZUL / METALIZADO,30,519900,Madrid,2023-04-10,b65f865c54d5a32a5990d5c44a5575a4,1
266070,website_4,ferrari,296-gtb,296 GTB,Híbrido,2022,200,830,2,Automático,ROJO,6,519900,Murcia,2024-01-30,f1264148fe6940c1a7e12473be27845a,1
835656,website_4,ferrari,sf90,Stradale,Híbrido Enchufable,2021,9800,1000,2,Automático,GRIS,29,519900,Madrid,2023-08-28,b65f865c54d5a32a5990d5c44a5575a4,1
774423,website_4,audi,q5,Advanced 50TFSIe Quattroultra,Híbrido,2023,6700,299,5,Automático,GRIS-NEGRO / METALIZADO,136,519901,Barcelona,2024-02-08,4ca2e0e643266976d01aa3a1b7ba8abc,1
294206,website_4,mercedes-benz,clase-c,Clase C 300 e Estate,Híbrido,2023,6416,313,5,Automático,NEGRO OBSIDIANA (METALIZADO) / METALIZADO,12,519902,Madrid,2024-02-10,abf32f86fa9d093661debbeb5af7fae6,1
143622,website_4,volkswagen,touareg,3.0TDI V6 R-Line Tiptronic 4Motion 210kW,Diésel,2020,64000,286,5,Automático,GRIS / METALIZADO,42,519902,Madrid,2024-03-18,de12f6ca3f8d7771384fa5ded32e58bc,1
157969,website_4,volvo,xc90,T8 Twin R-Design AWD Aut.,Híbrido,2020,75000,390,5,Automático,AZUL / METALIZADO,24,519952,Madrid,2024-02-27,d3d3cc015194b5403c6c09e740ed1cc3,1
509699,website_2,LAMBORGHINI,URUS,LAMBORGHINI URUS PERFORMANTE,Gasolina,2024,4,0,0,,,4,520000,Murcia,2024-02-21,119549fb250878c3c837c8ecc6ebd86a,1
91411,website_4,porsche,911,GT2 RS PDK,Gas,2018,200,700,2,Automático,GT SILVER,0,520000,Murcia,2023-12-15,f1264148fe6940c1a7e12473be27845a,1
266177,website_4,ferrari,488,Pista,Gas,2019,14800,721,2,Automático,BLANCO,7,520000,Murcia,2024-01-30,f1264148fe6940c1a7e12473be27845a,1
737414,website_4,rolls-royce,ghost,Black Badge,Gas,2023,27,600,4,Automático,NEGRO / METALIZADO,15,521900,Madrid,2023-08-30,b65f865c54d5a32a5990d5c44a5575a4,1
333622,website_4,volkswagen,touareg,Prem Eleg 3.0 V6 TDI 210kW Tip 4M,Diésel,2021,27294,286,5,Automático,GRIS / METALIZADO,36,521905,Madrid,2024-04-26,97c81649fa58303996aaf556b17043ca,1
214378,website_4,aston-martin,vantage,Deportivo  Automático de 3 Puertas,Gasolina,2022,482,700,3,Automático,AZUL,28,522900,Madrid,2023-12-03,b65f865c54d5a32a5990d5c44a5575a4,1
266273,website_4,ferrari,812,GTS,Gasolina,2021,10250,799,2,Automático,GRIS,15,523900,Madrid,2023-03-31,b65f865c54d5a32a5990d5c44a5575a4,1
228688,website_4,mercedes-benz,eqb,250+,Eléctrico,2024,3000,190,5,Automático,MANUFAKTUR ROJO PATAGONIA,11,524001,Valencia,2024-04-19,d55974ca9182d224ce669ff4c018f777,1
531406,website_4,mercedes-benz,eqb,300 4Matic,Eléctrico,2023,2387,228,5,Automático,GRIS,17,524002,Barcelona,2024-02-04,5b0c95b213ac0964637172e3bada81d9,1
280013,website_4,lamborghini,aventador,SuperVeloce LP750-4,Gasolina,2017,4250,750,2,Automático,VERDE / METALIZADO,20,524900,Madrid,2024-04-28,b65f865c54d5a32a5990d5c44a5575a4,1
227805,website_4,lamborghini,huracan,Huracán Sterrato,Gas,2023,1,610,2,Automático,VERDE,0,524900,Madrid,2023-09-13,b65f865c54d5a32a5990d5c44a5575a4,1
333644,website_4,volkswagen,touareg,3.0TDI V6 Elegance Tiptronic 4M 170kW,Diésel,2021,88324,231,5,Automático,BLANCO,41,524901,Madrid,2024-04-08,97c81649fa58303996aaf556b17043ca,1
810907,website_4,bmw,z4,sDrive 30i,Gas,2022,40800,258,2,Automático,GRIS,46,524905,Málaga,2024-01-10,df0de0816c53baaf910d70a85f9bdbb8,1
810906,website_4,bmw,z4,sDrive 30i,Gas,2022,38338,258,2,Automático,FROZEN GREY LL METALLIC,40,524995,Málaga,2024-01-03,d01bd9aa2c0f3e9fe797ff85f3fde8a9,1
266267,website_4,ferrari,812,GTS,Gasolina,2021,1200,799,2,Automático,ROSSO SCUDERIA,17,524999,Málaga,2024-05-01,ca6965ac2f7e609cd42d456d94f0bbf5,1
280005,website_4,lamborghini,aventador,SuperVeloce LP 750-4 Roadster,Gas,2017,1500,750,2,Automático,NARANJA,14,525000,Málaga,2024-01-23,48c1b218693881639ba918ebfab9ffec,1
227196,website_4,ferrari,sf90,Stradale,Híbrido,2024,140,1000,2,Automático,ROJO,7,525000,Murcia,2024-02-25,f1264148fe6940c1a7e12473be27845a,1
266272,website_4,ferrari,812,GTS,Gasolina,2021,3500,799,2,Automático,NEGRO,7,525000,Murcia,2023-12-15,f1264148fe6940c1a7e12473be27845a,1
835637,website_4,ferrari,sf90,Stradale,Híbrido,2021,8000,1000,2,Automático,-,13,525000,Madrid,2024-02-04,28a96bc6083235d93a50b81a974ee9c4,1
772025,website_4,audi,a5,Cabrio 2.0 TFSI S Line Q. ultra S-T MH,Gas,2022,30000,252,2,Automático,VERDE / METALIZADO,26,525003,Madrid,2024-03-08,afdf5af761b9940f54c7a244d8dc92e4,1
835661,website_4,ferrari,sf90,Stradale,Híbrido Enchufable,2021,15000,1000,2,Automático,AZUL / METALIZADO,17,525900,Murcia,2023-11-13,68c2e781508d74ef120b5c7561f6619a,1
266252,website_4,ferrari,812,GTS,Gas,2022,7000,799,2,Automático,GRIS / METALIZADO,22,529000,Barcelona,2023-11-26,effc51e4bced76f8439ef166c7cfcb8a,1
228433,website_4,mercedes-benz,clase-cla,Clase CLA 250 e,Híbrido,2024,3000,218,4,Automático,GRIS MONTAÑA / METALIZADO,0,529001,Valencia,2024-04-23,d55974ca9182d224ce669ff4c018f777,1
204729,website_4,mazda,cx-60,3.3L MHEV Homura DRI-P COM-P 2WD 147kW Aut.,Diésel,2023,6200,200,0,Automático,Blanco,17,529001,Girona,2023-08-03,a3d2de7675556553a5f08e4c88d2c228,0
143620,website_4,volkswagen,touareg,3.0TDI V6 R-Line Tiptronic 4Motion 210kW,Diésel,2019,65000,286,5,Automático,NEGRO,18,529002,Madrid,2024-02-26,74498d30f4524f46814f9c40db645c38,1
219577,website_4,mercedes-benz,clase-e,E-CLASS 220 D AMG LINE 4MATIC,Diésel,2022,20709,194,0,Automático,Platamojave,11,529004,Murcia,2023-07-09,a3d2de7675556553a5f08e4c88d2c228,0
902341,website_4,land-rover,range-rover-evoque,Range Rover Evoque 2.0 D163 R-Dynamic S AUTO 4WD MHEV,Híbrido,2023,16670,163,5,Automático,AZUL / METALIZADO,15,529004,Málaga,2024-04-02,913b75d4a61ebb8c99d9c9a0b82100b0,1
809570,website_4,bmw,x3,xDrive 20dA xLine,Diésel,2022,19900,190,5,Automático,BLANCO,40,529005,Valencia,2024-03-29,b8a61584519bc17ffd23bc5c6c2d3580,1
730687,website_4,bmw,z4,sDrive 20iA,Gas,2022,4635,197,2,Automático,NEGRO,20,529005,Córdoba,2023-12-31,4ed839f84b3ee7a33d11bca7cadedf10,1
266265,website_4,ferrari,812,GTS,Gas,2021,6100,799,2,Automático,GRIS,3,529600,Murcia,2024-03-14,f1264148fe6940c1a7e12473be27845a,1
227129,website_4,ferrari,812,GTS,Gas,2023,1400,799,2,Automático,VERDE,20,529900,Madrid,2023-12-16,b65f865c54d5a32a5990d5c44a5575a4,1
252916,website_4,audi,a6,RS6 Avant 4.0 TFSI quattro Tiptronic,Gas,2014,25500,560,5,Automático,AZUL,18,529903,Madrid,2024-03-31,e6557b38d09706edee204934902d1304,1
918965,website_4,mercedes-benz,clase-a,Clase A 35 AMG Sedán 4Matic+ 7G-DCT,Gas,2021,21864,306,4,Automático,NEGRO COSMOS METALIZADO / METALIZADO,11,529904,Madrid,2024-02-10,abf32f86fa9d093661debbeb5af7fae6,1
903032,website_4,land-rover,range-rover-sport,Range Rover Sport 2.0 Si4 PHEV SE 404,Híbrido,2019,52500,404,5,Automático,GRIS,49,529904,Salamanca,2024-02-03,f3a4c52dc0742f6afb2815028f133bad,1
205397,website_4,audi,tt,TTS Roadster TFSI quattro S tronic 235KW,Gasolina,2021,13900,320,0,Automático,Azul,39,529904,Madrid,2023-07-31,f509a30d5ba4f1c1b2aa706d4b80cb4b,1
902303,website_4,land-rover,range-rover-evoque,Range Rover Evoque 1.5 P300e R-Dynamic S AUTO 4WD PHEV,Híbrido,2022,14525,309,5,Automático,OTROS,26,529904,Madrid,2024-02-05,918756d3233a153fe73dc2aa974a7492,1
333394,website_4,rolls-royce,phantom,VIII,Gas,2020,22300,0,4,Automático,BLANCO,0,530000,Murcia,2023-12-15,f1264148fe6940c1a7e12473be27845a,1
204739,website_4,mercedes-benz,amg-gt,AMG GT Coupé Black Series,Gas,2022,150,730,3,Automático,BLANCO,0,530000,Murcia,2023-12-15,f1264148fe6940c1a7e12473be27845a,1
928807,website_4,mercedes-benz,eqa,250 +,Eléctrico,2023,10322,190,5,Automático,GRIS / METALIZADO,18,530001,Barcelona,2024-03-19,5b0c95b213ac0964637172e3bada81d9,1
266256,website_4,ferrari,812,GTS,Gas,2021,10000,799,2,Automático,AZUL,23,530900,Madrid,2023-12-16,b65f865c54d5a32a5990d5c44a5575a4,1
266257,website_4,ferrari,812,GTS,Gas,2022,16721,799,2,Automático,GRIS,30,532900,Madrid,2023-12-16,b65f865c54d5a32a5990d5c44a5575a4,1
280006,website_4,lamborghini,aventador,SuperVeloce LP 750-4 Roadster,Gasolina,2018,674,750,2,Automático,BLANCO,20,532900,Madrid,2023-09-16,b65f865c54d5a32a5990d5c44a5575a4,1
228436,website_4,mercedes-benz,clase-cla,Clase CLA 250 e Shooting Brake,Híbrido,2023,5000,218,5,Automático,GRIS MONTAÑA / METALIZADO,12,533001,Valencia,2024-04-23,d55974ca9182d224ce669ff4c018f777,1
266312,website_4,ferrari,812,Superfast,Gasolina,2020,10000,799,2,Automático,GRIS,11,533900,Madrid,2023-09-13,b65f865c54d5a32a5990d5c44a5575a4,1
241137,website_4,rolls-royce,cullinan,,Gas,2022,4500,571,5,Automático,GRIS,13,533900,Madrid,2023-09-13,b65f865c54d5a32a5990d5c44a5575a4,1
266192,website_4,ferrari,488,Pista,Gasolina,2020,11500,721,2,Automático,AZUL,14,533900,Madrid,2023-03-31,b65f865c54d5a32a5990d5c44a5575a4,1
266304,website_4,ferrari,812,Superfast,Gasolina,2021,348,799,2,Automático,NEGRO,19,533900,Madrid,2023-09-20,b65f865c54d5a32a5990d5c44a5575a4,1
227842,website_4,lamborghini,urus,4.0 V8 Aut.,Gasolina,2023,50,650,5,Automático,AMARILLO,12,533900,Madrid,2023-09-13,b65f865c54d5a32a5990d5c44a5575a4,1
332239,website_4,lamborghini,aventador,SuperVeloce LP 750-4 Roadster,Gas,2017,7900,750,2,Automático,AMARILLO,6,534000,Murcia,2023-12-15,f1264148fe6940c1a7e12473be27845a,1
784831,website_4,audi,q5,Sportback 40 TDI quattro-ultra S line S tronic 150kW,Diésel,2023,14574,204,5,Automático,NEGRO / METALIZADO,20,534001,Madrid,2024-04-08,40b67e0534ef4d718d685e031398703d,1
929699,website_4,porsche,macan,Turbo Performance Package Aut.,Gas,2017,140986,400,5,Automático,OTROS,25,534901,Madrid,2024-02-01,918756d3233a153fe73dc2aa974a7492,1
266266,website_4,ferrari,812,GTS,Gasolina,2021,12000,799,2,Automático,NERO DAYTONA / METALIZADO,16,534999,Valencia,2024-04-22,644f76c0f8882071708e52527e162af1,1
266251,website_4,ferrari,812,GTS,Gas,2021,12800,799,2,Automático,NEGRO,30,535000,Barcelona,2024-01-29,99fda4d635c48faeb4f2ee233db4665a,1
531029,website_4,aston-martin,dbs,Descapotable  Automático de 2 Puertas,Gas,2023,150,770,2,Automático,GRIS / METALIZADO,7,535000,Murcia,2024-01-22,f1264148fe6940c1a7e12473be27845a,1
177186,website_2,FERRARI,812,FERRARI 812 Superfast 3p.,Gasolina,2021,12800,0,0,,,30,535000,Barcelona,2023-09-07,58cc20b21732d5a6f1e6284b175a189f,1
228672,website_4,mercedes-benz,eqa,250,Eléctrico,2023,0,190,5,Automático,GRIS MONTAÑA METALIZADO / METALIZADO,11,535001,Valencia,2024-05-02,d55974ca9182d224ce669ff4c018f777,1
835649,website_4,ferrari,sf90,Stradale,Híbrido Enchufable,2021,8950,1000,2,Automático,NEGRO,12,535900,Madrid,2023-09-13,b65f865c54d5a32a5990d5c44a5575a4,1
372681,website_2,LAMBORGHINI,Aventador,LAMBORGHINI Aventador 6.5 V12 LP 7504 Superveloce 2p.,Gasolina,2016,11000,0,0,,,10,537000,Madrid,2024-05-08,a3d2de7675556553a5f08e4c88d2c228,0
798805,website_4,bmw,serie-3,Serie 3 M3,Gas,2009,87900,420,4,Manual,PLATA,33,537502,Barcelona,2024-02-04,25b2e86e43c8b07d2df40c4573206db6,1
241130,website_4,rolls-royce,cullinan,,Gas,2023,380,571,5,Automático,NEGRO,14,537900,Madrid,2023-09-16,b65f865c54d5a32a5990d5c44a5575a4,1
266269,website_4,ferrari,812,GTS,Gasolina,2021,3113,799,2,Automático,AZUL / METALIZADO,26,537900,Madrid,2023-06-15,b65f865c54d5a32a5990d5c44a5575a4,1
333643,website_4,volkswagen,touareg,3.0TDI V6 Elegance Tiptronic 4M 170kW,Diésel,2021,37850,231,5,Automático,BLANCO,40,537901,Madrid,2024-03-14,97c81649fa58303996aaf556b17043ca,1
799808,website_4,bmw,serie-5,Serie 5 M550iA xDrive,Gas,2017,73894,462,4,Automático,NEGRO / METALIZADO,23,538505,Madrid,2024-03-31,1f6c282d80b5ac8fab4a670460a0c305,1
227128,website_4,ferrari,812,GTS,Gas,2023,2515,799,2,Automático,ROJO,29,538900,Madrid,2023-12-16,b65f865c54d5a32a5990d5c44a5575a4,1
773081,website_4,audi,e-tron,Sportback 55 quattro Black line edition,Eléctrico,2022,7125,408,5,Automático,AZUL,5,539001,Madrid,2024-01-30,40b67e0534ef4d718d685e031398703d,1
531994,website_4,audi,a7,RS7 Sportback 4.0 TFSI quattro Tiptronic,Gas,2015,110000,560,5,Automático,AZUL,49,539001,Toledo,2024-04-14,c22982584ecc43b21f46063cd6bd0af0,1
